gc_orgID,harmonized_name,nom_harmonisé,legal_title,appellation_légale,preferred_name,nom_préféré,lead_department,ministère_responsable,abbreviation,abreviation,FAA_LGFP,status_statut
3672,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,,,,,,,,d
3673,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,Inuvialuit Arbitration Board,Commission d'arbitrage des Inuvialuit,,,,,,,,d
3674,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,Merchant Seamen Compensation Board,Commission d'indemnisation des marins marchands,,,,,,,,d
3675,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,,,,,,,,d
3676,Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques,Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques,,,,,,,,d
3679,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,Canada Agricultural Review Tribunal,Commission de révision agricole du Canada,,,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,,,,t
3680,Canada Industrial Relations Board,Conseil canadien des relations industrielles,Canada Industrial Relations Board,Conseil canadien des relations industrielles,,,Employment and Social Development Canada,Emploi et Développement social Canada,,,,t
3681,Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs,Canadian Artists and Producers Professional Relations Tribunal,Tribunal canadien des relations professionnelles artistes-producteurs,,,,,,,,t
3682,Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,Canadian Cultural Property Export Review Board,Commission canadienne d'examen des exportations de biens culturels,,,Canadian Heritage,Patrimoine canadien,,,,t
3683,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,Canadian Human Rights Tribunal,Tribunal canadien des droits de la personne,,,Department of Justice Canada,Ministère de la Justice Canada,,,,t
3684,Canadian International Development Agency,Agence canadienne de développement international,Canadian International Development Agency,Agence canadienne de développement international,,,,,,,,t
3685,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,Canadian International Trade Tribunal,Tribunal canadien du commerce extérieur,,,,,,,,t
3686,Employment Insurance Boards of Referees,Conseils arbitraux de l'assurance-emploi,Employment Insurance Boards of Referees,Conseils arbitraux de l'assurance-emploi,,,,,,,,t
3687,Office of the Commissioner of Review Tribunals,Bureau du Commissaire des tribunaux de révision,Office of the Commissioner of Review Tribunals,Bureau du Commissaire des tribunaux de révision,,,,,,,,t
3688,Office of the Umpire,Bureau du juge-arbitre,Office of the Umpire,Bureau du juge-arbitre,,,,,,,,t
3689,Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,,,,,,,,t
3690,Parc Downsview Park Inc.,Parc Downsview Park Inc,Parc Downsview Park Inc.,Parc Downsview Park Inc,,,,,,,,a
3691,Pension Appeals Board,Commission d'appel des pensions,Pension Appeals Board,Commission d'appel des pensions,,,,,,,,t
3692,Public Service Labour Relations Board,Commission des relations de travail dans la fonction publique,Public Service Labour Relations Board,Commission des relations de travail dans la fonction publique,,,,,,,,t
3693,Public Service Staffing Tribunal,Tribunal de la dotation de la fonction publique,Public Service Staffing Tribunal,Tribunal de la dotation de la fonction publique,,,,,,,,t
3694,Registry of the Competition Tribunal,Greffe du Tribunal de la concurrence,Registry of the Competition Tribunal,Greffe du Tribunal de la concurrence,,,,,,,,t
3695,Registry of the Public Servants Disclosure Protection Tribunal,Greffe du Tribunal de la protection des fonctionnaires divulgateurs d'actes répréhensibles,Registry of the Public Servants Disclosure Protection Tribunal,Greffe du Tribunal de la protection des fonctionnaires divulgateurs d'actes répréhensibles,,,,,,,,t
3696,Registry of the Specific Claims Tribunal,Greffe du Tribunal des revendications particulières,Registry of the Specific Claims Tribunal,Greffe du Tribunal des revendications particulières,,,,,,,,t
3697,Transportation Appeal Tribunal of Canada,Tribunal d'appel des transports du Canada,Transportation Appeal Tribunal of Canada,Tribunal d'appel des transports du Canada,,,Transport Canada,Transports Canada,,,,t
3698,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,Comité d'organisation des Jeux olympiques et paralympiques d'hiver de 2010 à Vancouver,Vancouver Organizing Committee for the 2010 Olympic and Paralympic Winter Games,Comité d'organisation des Jeux olympiques et paralympiques d'hiver de 2010 à Vancouver,,,,,,,,d
3700,The Halifax 2011 Canada Games Host Society,Société d'accueil des Jeux de 2011 de Halifax,The Halifax 2011 Canada Games Host Society,Société d'accueil des Jeux de 2011 de Halifax,,,,,,,,d
3701,Prince George 2015 Canada Winter Games Host Society,Société hôtesse des Jeux d'hiver du Canada Prince George 2015,Prince George 2015 Canada Winter Games Host Society,Société hôtesse des Jeux d'hiver du Canada Prince George 2015,,,,,,,,a
3702,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,2010 Games Operating Trust Society,Société du legs des Jeux de 2010,,,,,,,,a
3703,Canada Water Agency,Agence de l'eau du Canada,Canada Water Agency,Agence canadienne de l'eau,Canada Water Agency,Agence de l'eau du Canada,,,CWA,AEC,1.1,a
3704,Treasury Board,Conseil du Trésor,Treasury Board,Conseil du Trésor,,,,,TB,CT,1,a
3705,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral,Federal Public Sector Labour Relations and Employment Board,Commission des relations de travail et de l'emploi dans le secteur public fédéral,,,,,,,,a
3706,Miscarriage of Justice Review Commission,Commission d'examen des erreurs du système judiciaire,Miscarriage of Justice Review Commission,Commission d'examen des erreurs du système judiciaire,,,,,,,1.1,a
3707,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,VIA HFR - VIA TGF Inc.,,,,,,,,a
nan,,,Office of the Information Commissioner,,,,,,,,4,a
